"term","estimate","std.error","statistic","p.value","BIOCHEMICAL","SUPER_PATHWAY","SUB_PATHWAY","KEGG","FDR"
"phenotypesmim",0.8271722100278847,0.06422582028797691,12.879122544780195,7.011340233956075e-23,"glycylphenylalanine",NA,"Dipeptide",NA,1.9555406950307268e-19
"phenotypesmim",-2.4325094733459167,0.46093296824846236,-5.277360572816938,7.746020436959068e-7,"phenylalanylarginine",NA,"Dipeptide",NA,3.0381344532585394e-4
"phenotypesmim",4.348821668047908,0.9165142852598562,4.74495786698502,7.026110972951563e-6,"suberoylcarnitine (C8-DC)",NA,"Fatty Acid Metabolism(Acyl Carnitine)",NA,0.0019659013750019283
"phenotypesmim",2.769848849912373,0.6371211393584464,4.347444589111408,3.344335921806627e-5,"guanosine",NA,"Purine Metabolism, Guanine containing","C00387",0.00666615067401046
"phenotypesmim",4.59912253533438,1.0758168779349289,4.275005002861239,4.405779300832945e-5,"ethylmalonate",NA,"Leucine, Isoleucine and Valine Metabolism",NA,0.008210548720725
"phenotypesmim",3.78591552482484,0.9043192776628312,4.186481056346994,6.14702780098256e-5,"3-hydroxybutyrylcarnitine (1)",NA,"Fatty Acid Metabolism(Acyl Carnitine)",NA,0.010563901540706305
"phenotypesmim",-5.250150882841286,1.2880623725295708,-4.076006717384918,9.259123181692555e-5,"dimethyl sulfone",NA,"Chemical","C11142",0.01439047421898089
"phenotypesmim",4.400208847322398,1.1231989294439018,3.9175685909004128,1.646370827860535e-4,"3-hydroxysebacate",NA,"Fatty Acid, Monohydroxy",NA,0.02171713625408548
"phenotypesmim",5.565446065419886,1.4652546376530817,3.7982790993476305,2.5151981639240346e-4,"X - 18901",NA,".",NA,0.02938534110211089
"phenotypesmim",-4.192986561781583,1.161907162577985,-3.6087104863682753,4.8468879044188983e-4,"phenylacetylglutamate",NA,"Acetylated Peptides",NA,0.04603600331011148
"phenotypesmim",4.264285369205495,1.1820405643450258,3.6075626318021965,4.865853810378448e-4,"X - 13658",NA,".",NA,0.04614673399355757
"phenotypesmim",-3.285185981441464,0.9556895863880326,-3.437503168636182,8.599980480002694e-4,"X - 11850",NA,".",NA,0.06662861420031717
