"estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","BIOCHEMICAL","SUPER_PATHWAY.x","SUB_PATHWAY.x","KEGG.x","FDR","PATHWAY_SORTORDER","SUPER_PATHWAY.y","SUB_PATHWAY.y","COMP_ID","PLATFORM","RI","MASS","CAS","PUBCHEM","KEGG.y","Group HMDB"
-2.4828039258896313,0.09463467689906556,2.5774386027886966,-61.170444322851964,1.008244295762241e-145,233.494067763224,-2.5627700001946896,-2.402837851584573,"Welch Two Sample t-test","two.sided","4-aminophenol sulfate (2)",NA,"Drug",NA,1.150406741464717e-142,4034,"Xenobiotics","Drug",54809,"LC/MS Neg",1168,188.0023,NA,NA,NA,NA
-1.3177107416082676,0.24043622268301323,1.5581469642912809,-22.579284413762355,2.815433507317896e-60,229.99999999999997,-1.4326978817939033,-1.202723601422632,"Welch Two Sample t-test","two.sided","quinine",NA,"Drug",NA,1.6062048159248594e-57,4191,"Xenobiotics","Drug",39767,"LC/MS Pos Early",3378,325.1911,"130-95-0","2728270",NA,NA
-1.0839035463834783,0.15373731449341455,1.237640860876893,-17.189604387670958,3.7903015289730744e-43,230,-1.2081443112341617,-0.959662781532795,"Welch Two Sample t-test","two.sided","bradykinin",NA,"Polypeptide","C00306",1.4415780148527593e-40,821,"Peptide","Polypeptide",22154,"LC/MS Pos Late",792,530.788,"58-82-2","439201","C00306","HMDB04246"
0.6139108831969151,0.35979373054801106,-0.254117152648904,7.999465207944414,1.6078615247053046e-13,176.0789872838161,0.46245444893189014,0.7653673174619401,"Welch Two Sample t-test","two.sided","heme",NA,"Hemoglobin and Porphyrin Metabolism","C00032",4.5864249992218817e-11,3422,"Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism",41754,"LC/MS Pos Late",1124,616.1762,"14875-96-8","26945","C00032","HMDB03178"
-2.4409823906029158,0.09032522262478805,2.5313076132277037,-10.486391174031006,1.1913423864571738e-10,25.051008530539335,-2.920344476030196,-1.9616203051756353,"Welch Two Sample t-test","two.sided","guanosine",NA,"Purine Metabolism, Guanine containing","C00387",2.7186433258952704e-8,3253,"Nucleotide","Purine Metabolism, Guanine containing",1573,"LC/MS Neg",1662,282.0844,"118-00-3","6802","C00387","HMDB00133"
-1.359223104431965,0.23265158351344162,1.5918746879454067,-8.46891510666148,1.4475281097500607e-9,30.999116182225215,-1.6865562948909538,-1.0318899139729758,"Welch Two Sample t-test","two.sided","X - 17398",NA,".",NA,2.7527159553746985e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.8479118783097694,0.4677191799910863,1.3156310583008557,-7.305385075976002,8.473354525085584e-9,38.77403759979973,-1.082722673139013,-0.6131010834805259,"Welch Two Sample t-test","two.sided","X - 14095",NA,".",NA,1.3811567875889501e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.7715397172409975,0.14435521050797298,1.9158949277489705,-6.733629141579076,4.11749781857845e-7,25.617948298883423,-2.312718460838018,-1.230360973643977,"Welch Two Sample t-test","two.sided","maltotetraose",NA,"Glycogen Metabolism","C02052",5.8725812637475145e-5,945,"Carbohydrate","Glycogen Metabolism",15910,"LC/MS Neg",910,665.2146,"34612-38-9","446495","C02052","HMDB01296"
0.44295631541717806,0.3594073641736744,-0.08354895124350367,5.204296703828497,8.7616343254957e-7,113.39692294597323,0.2743373531343691,0.6115752776999871,"Welch Two Sample t-test","two.sided","1-methylguanidine",NA,"Guanidino and Acetamido Metabolism","C02294",9.997024765390593e-5,420,"Amino Acid","Guanidino and Acetamido Metabolism",48114,"LC/MS Pos Early",2149,74.0713,"22661-87-6","10111","C02294","HMDB01522"
-0.40741623221894036,0.4524660683991594,0.8598823006180998,-5.2088088710704605,8.685028528008298e-7,112.46729434857113,-0.5623857146899733,-0.2524467497479074,"Welch Two Sample t-test","two.sided","uracil",NA,"Pyrimidine Metabolism, Uracil containing","C00106",9.997024765390593e-5,3287,"Nucleotide","Pyrimidine Metabolism, Uracil containing",605,"LC/MS Polar",1089.7,111.02,"66-22-8","1174","C00106","HMDB00300"
-0.7362143763339049,-0.338313232200139,0.39790114413376587,-5.6615155054021065,1.2835851480770802e-6,41.27166844933599,-0.9987797498271116,-0.47364900284069816,"Welch Two Sample t-test","two.sided","X - 21740",NA,".",NA,1.3314278672326807e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5445381796861162,0.2578952996920643,-0.2866428799940518,5.235511762546454,1.8939608304404986e-6,64.98749386051965,0.33681793035562313,0.7522584290166093,"Welch Two Sample t-test","two.sided","1-linoleoyl-2-eicosapentaenoyl-GPC (18:2/20:5)*",NA,"Phospholipid Metabolism",NA,1.8008410896105075e-4,1731,"Lipid","Phospholipid Metabolism",53217,"LC/MS Pos Late",1870,804.5538,NA,NA,NA,"HMDB08149"
-2.0452319772013148,0.11928670894160526,2.16451868614292,-6.164534878138567,2.053710550476669e-6,24.57888633040731,-2.729127287973458,-1.3613366664291717,"Welch Two Sample t-test","two.sided","xanthosine",NA,"Purine Metabolism, (Hypo)Xanthine/Inosine containing","C01762",1.8025259523799073e-4,3201,"Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing",15136,"LC/MS Neg",1075,283.0684,"146-80-5","64959","C01762","HMDB00299"
-0.6731426688183888,0.5319541598646118,1.2050968286830006,-5.59022506710326,2.3786186841791013e-6,36.36073172300936,-0.917269956578519,-0.42901538105825865,"Welch Two Sample t-test","two.sided","2-methylbutyroylcarnitine (C5)",NA,"Leucine, Isoleucine and Valine Metabolism",NA,1.9385742276059676e-4,301,"Amino Acid","Leucine, Isoleucine and Valine Metabolism",45095,"LC/MS Pos Early",3035,246.17,"31023-25-3","6426901",NA,"HMDB00378"
0.961085123958892,0.14039113690745325,-0.8206939870514388,5.669201655058159,2.6617504894277554e-6,32.606565913739324,0.6160208290355285,1.3061494188822556,"Welch Two Sample t-test","two.sided","hydroxycotinine",NA,"Tobacco Metabolite",NA,2.0247048722913793e-4,3539,"Xenobiotics","Tobacco Metabolite",38661,"LC/MS Pos Early",2030,193.0972,"34834-67-8","10219774",NA,"HMDB01390"
-1.101934221152223,0.21818171274999767,1.3201159339022206,-5.603969148975778,4.8665341401003654e-6,28.780960427989623,-1.5042301183601774,-0.6996383239442685,"Welch Two Sample t-test","two.sided","X - 14302",NA,".",NA,3.470447158659073e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.3732785557944509,0.35495075656821373,-0.018327799226237187,4.704751597695937,5.58884291990135e-6,154.97365490997012,0.21654963475720823,0.5300074768316936,"Welch Two Sample t-test","two.sided","X - 14662",NA,".",NA,3.751099865651436e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.8420820379960197,0.3774670409727509,1.2195490789687706,-5.31305014209673,8.326677134887229e-6,31.542203475400335,-1.1651058796148577,-0.5190581963771816,"Welch Two Sample t-test","two.sided","pimelate (heptanedioate)",NA,"Fatty Acid, Dicarboxylate","C02656",5.278188117170181e-4,1241,"Lipid","Fatty Acid, Dicarboxylate",15704,"LC/MS Polar",2745,159.0663,"111-16-0","385","C02656","HMDB00857"
0.3104734591970995,0.2691238970574407,-0.04134956213965881,4.492758240311365,1.0737546692590444e-5,250.86334126970843,0.17437293685833752,0.4465739815358614,"Welch Two Sample t-test","two.sided","2-isopropylmalate",NA,"Food Component/Plant","C02504",6.448179355918788e-4,3644,"Xenobiotics","Food Component/Plant",15667,"LC/MS Neg",725,175.0612,"3237-44-3","77","C02504","HMDB00402"
-0.9587600477961045,0.3274138306516565,1.286173878447761,-5.018724262911726,2.4572295859959688e-5,28.771030736124814,-1.3496088845851073,-0.5679112110071014,"Welch Two Sample t-test","two.sided","X - 12565",NA,".",NA,0.0014018494788107002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.9574796391876665,0.34305486479248004,1.3005345039801466,-4.815202672032821,4.519230245723954e-5,28.205590741935254,-1.3646617265700656,-0.5502975518052676,"Welch Two Sample t-test","two.sided","valylleucine",NA,"Dipeptide",NA,0.002455448433510015,804,"Peptide","Dipeptide",39994,"LC/MS Pos Early",3138,231.1703,"22906-55-4","352039",NA,"HMDB29131"
-0.8559185359654631,0.04444799358465277,0.9003665295501159,-4.4520778957244485,1.0754634386165375e-4,30.200360213850427,-1.248439223347633,-0.4633978485832932,"Welch Two Sample t-test","two.sided","1-docosapentaenoyl-GPC* (22:5n6)*",NA,"Lysolipid",NA,0.0055777444702794065,1929,"Lipid","Lysolipid",45675,"LC/MS Pos Late",1484,570.3554,NA,NA,NA,NA
-0.8780924590317866,0.5148725981052668,1.3929650571370533,-4.5063954829333435,1.1278709846719775e-4,27.230902988648523,-1.2777427641413528,-0.47844215392222017,"Welch Two Sample t-test","two.sided","X - 24456",NA,".",NA,0.005595220841350984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.6441927979978923,0.4047044696566209,1.0488972676545132,-4.2212846917137785,1.8187542637791514e-4,32.62855491847587,-0.9548060915518503,-0.3335795044439344,"Welch Two Sample t-test","two.sided","4-imidazoleacetate",NA,"Histidine Metabolism","C02835",0.008646660895716715,77,"Amino Acid","Histidine Metabolism",32349,"LC/MS Pos Early",2055,127.0502,"645-65-8","96215","C02835","HMDB02024"
0.4570011592430159,0.3284442785618523,-0.12855688068116353,3.859663214232223,3.380254468750453e-4,48.11462055242654,0.2189477805310512,0.6950545379549805,"Welch Two Sample t-test","two.sided","N-acetyl-3-methylhistidine*",NA,"Histidine Metabolism",NA,0.014834116726324105,65,"Amino Acid","Histidine Metabolism",43256,"LC/MS Neg",1360,210.0884,"37841-04-6","193270",NA,NA
0.24902316765672328,0.28136449015962295,0.03234132250289968,3.639590864823725,3.322787106337538e-4,247.98740442278614,0.11426349038069525,0.38378284493275133,"Welch Two Sample t-test","two.sided","X - 11407",NA,".",NA,0.014834116726324105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.5982955545928212,-0.22122985947929064,0.3770656951135306,-3.9155222436220978,3.8691079343971656e-4,35.885570516305386,-0.9082245786321486,-0.2883665305534939,"Welch Two Sample t-test","two.sided","isobutyrylglycine (C4)",NA,"Leucine, Isoleucine and Valine Metabolism",NA,0.016350563530174687,322,"Amino Acid","Leucine, Isoleucine and Valine Metabolism",35437,"LC/MS Neg",1420,144.0666,"15926-18-8","10855600",NA,"HMDB00730"
-0.6527622644866878,0.23874850129953554,0.8915107657862233,-3.907152307693664,4.481453356141458e-4,32.35777878636738,-0.9929222509390714,-0.3126022780343043,"Welch Two Sample t-test","two.sided","N6-methyladenosine",NA,"Purine Metabolism, Adenine containing",NA,0.017645202759658092,3227,"Nucleotide","Purine Metabolism, Adenine containing",37114,"LC/MS Pos Early",2264,282.1197,"1867-73-8","102175",NA,"HMDB04044"
-1.038835190738797,0.2764359360931621,1.315271126831959,-3.9982826680906327,4.639404757140603e-4,26.216767999801622,-1.5726887273185215,-0.5049816541590723,"Welch Two Sample t-test","two.sided","valylglycine",NA,"Dipeptide",NA,0.017645202759658092,801,"Peptide","Dipeptide",40475,"LC/MS Neg",1506,173.0932,"686-43-1","136487",NA,"HMDB29127"
0.33304567632230503,0.38385435723130695,0.0508086809090019,3.6489095436124965,4.5332682100438903e-4,85.08171660292247,0.1515736938448185,0.5145176587997916,"Welch Two Sample t-test","two.sided","X - 12740",NA,".",NA,0.017645202759658092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.7164352837080326,0.4640239203063597,1.1804592040143922,-3.914127913723179,5.125844793879783e-4,28.66604548539753,-1.0909801490400786,-0.34189041837598655,"Welch Two Sample t-test","two.sided","2-hydroxyphenylacetate",NA,"Phenylalanine and Tyrosine Metabolism","C05852",0.01886641583811881,194,"Amino Acid","Phenylalanine and Tyrosine Metabolism",1432,"LC/MS Polar",858.6,151.0401,"614-75-5","11970","C05852","HMDB00669"
0.4652987099554053,0.09172946931597038,-0.3735692406394349,3.6136339341157786,7.579834358756223e-4,44.999962627850735,0.20595873608667153,0.7246386838241391,"Welch Two Sample t-test","two.sided","adenosine 3',5'-cyclic monophosphate (cAMP)",NA,"Purine Metabolism, Adenine containing","C00575",0.026946683264826302,3216,"Nucleotide","Purine Metabolism, Adenine containing",2831,"LC/MS Neg",1952.2,328.0452,"60-92-4","6076","C00575","HMDB00058"
